iter	Passed	Remaining
0	139	139694
1	188	94162
2	243	80813
3	309	77110
4	370	73694
5	432	71607
6	497	70590
7	566	70200
8	619	68165
9	675	66888
10	729	65598
11	782	64412
12	834	63357
13	889	62664
14	942	61904
15	993	61109
16	1047	60561
17	1101	60092
18	1157	59746
19	1216	59585
20	1266	59021
21	1318	58627
22	1365	58024
23	1420	57754
24	1472	57426
25	1522	57027
26	1572	56660
27	1623	56369
28	1674	56076
29	1725	55777
30	1775	55494
31	1825	55216
32	1887	55314
33	1950	55429
34	2007	55337
35	2059	55142
36	2113	55004
37	2170	54959
38	2225	54836
39	2279	54714
40	2341	54763
41	2412	55036
42	2493	55496
43	2546	55331
44	2598	55150
45	2651	54993
46	2704	54829
47	2754	54631
48	2804	54430
49	2856	54271
50	2907	54096
51	2988	54488
52	3043	54387
53	3094	54211
54	3145	54044
55	3201	53974
56	3253	53817
57	3310	53771
58	3367	53703
59	3424	53651
60	3476	53520
61	3529	53404
62	3590	53408
63	3646	53333
64	3699	53217
65	3750	53079
66	3802	52947
67	3851	52788
68	3898	52600
69	3952	52517
70	4012	52505
71	4072	52494
72	4129	52437
73	4178	52289
74	4229	52164
75	4280	52040
76	4340	52033
77	4414	52180
78	4482	52260
79	4539	52199
80	4588	52062
81	4640	51955
82	4694	51868
83	4759	51901
84	4839	52094
85	4895	52034
86	4956	52017
87	5017	52000
88	5084	52041
89	5151	52091
90	5223	52180
91	5278	52095
92	5334	52028
93	5411	52156
94	5480	52206
95	5536	52135
96	5604	52174
97	5675	52241
98	5739	52236
99	5805	52248
100	5861	52174
101	5912	52056
102	5967	51972
103	6024	51900
104	6076	51794
105	6132	51718
106	6181	51590
107	6236	51505
108	6290	51424
109	6339	51294
110	6397	51240
111	6447	51119
112	6501	51035
113	6561	50993
114	6616	50918
115	6663	50777
116	6713	50669
117	6765	50571
118	6821	50498
119	6868	50370
120	6928	50330
121	6994	50337
122	7062	50353
123	7125	50337
124	7182	50280
125	7238	50208
126	7289	50109
127	7342	50022
128	7393	49918
129	7441	49800
130	7490	49690
131	7544	49611
132	7595	49516
133	7655	49473
134	7734	49560
135	7806	49593
136	7861	49523
137	7912	49425
138	7971	49375
139	8025	49296
140	8079	49219
141	8131	49133
142	8189	49081
143	8248	49034
144	8316	49038
145	8385	49047
146	8451	49039
147	8513	49012
148	8573	48969
149	8637	48943
150	8703	48932
151	8768	48916
152	8830	48887
153	8899	48890
154	8966	48881
155	9028	48845
156	9102	48875
157	9173	48888
158	9248	48915
159	9325	48957
160	9400	48986
161	9471	48994
162	9538	48981
163	9599	48935
164	9657	48872
165	9716	48818
166	9774	48755
167	9831	48691
168	9886	48612
169	9937	48516
170	9991	48437
171	10041	48341
172	10097	48271
173	10145	48161
174	10197	48073
175	10248	47979
176	10298	47885
177	10354	47816
178	10413	47764
179	10461	47658
180	10510	47558
181	10560	47463
182	10616	47396
183	10666	47301
184	10723	47241
185	10797	47255
186	10867	47245
187	10926	47192
188	10979	47113
189	11041	47071
190	11132	47153
191	11193	47104
192	11262	47092
193	11336	47097
194	11399	47058
195	11456	46996
196	11507	46908
197	11564	46841
198	11628	46806
199	11695	46781
200	11758	46742
201	11813	46670
202	11871	46608
203	11925	46534
204	11982	46470
205	12056	46469
206	12129	46466
207	12207	46482
208	12297	46541
209	12363	46508
210	12432	46489
211	12493	46438
212	12545	46354
213	12597	46268
214	12647	46177
215	12699	46095
216	12749	46004
217	12802	45923
218	12852	45833
219	12906	45760
220	12962	45692
221	13033	45676
222	13106	45666
223	13160	45590
224	13215	45521
225	13279	45478
226	13346	45447
227	13402	45379
228	13458	45311
229	13506	45217
230	13557	45134
231	13607	45043
232	13658	44961
233	13710	44881
234	13757	44784
235	13810	44708
236	13861	44624
237	13917	44558
238	13967	44475
239	14025	44414
240	14080	44345
241	14132	44267
242	14181	44178
243	14233	44101
244	14288	44031
245	14342	43959
246	14392	43877
247	14449	43815
248	14503	43744
249	14556	43669
250	14607	43589
251	14669	43542
252	14724	43476
253	14780	43410
254	14832	43333
255	14888	43269
256	14939	43191
257	14990	43113
258	15041	43034
259	15094	42961
260	15150	42896
261	15214	42856
262	15268	42787
263	15317	42702
264	15373	42640
265	15421	42554
266	15473	42479
267	15531	42421
268	15587	42358
269	15647	42306
270	15712	42266
271	15803	42297
272	15854	42219
273	15912	42162
274	15963	42085
275	16017	42018
276	16066	41935
277	16117	41858
278	16166	41777
279	16210	41685
280	16256	41595
281	16317	41545
282	16370	41476
283	16430	41422
284	16489	41369
285	16544	41302
286	16592	41221
287	16647	41156
288	16701	41088
289	16748	41005
290	16798	40928
291	16852	40861
292	16894	40766
293	16942	40683
294	16991	40607
295	17042	40534
296	17090	40453
297	17140	40377
298	17187	40295
299	17232	40209
300	17284	40138
301	17330	40054
302	17372	39961
303	17414	39871
304	17457	39779
305	17502	39696
306	17554	39626
307	17598	39538
308	17640	39449
309	17681	39355
310	17730	39279
311	17778	39204
312	17820	39113
313	17861	39023
314	17913	38953
315	17960	38875
316	18004	38792
317	18048	38707
318	18088	38615
319	18134	38535
320	18178	38453
321	18233	38392
322	18289	38335
323	18361	38309
324	18410	38238
325	18465	38177
326	18514	38104
327	18567	38041
328	18614	37964
329	18662	37890
330	18709	37814
331	18755	37736
332	18803	37662
333	18851	37589
334	18901	37521
335	18951	37451
336	19004	37388
337	19050	37312
338	19096	37235
339	19139	37152
340	19182	37071
341	19266	37068
342	19309	36987
343	19351	36903
344	19391	36816
345	19434	36735
346	19476	36652
347	19526	36584
348	19571	36507
349	19615	36429
350	19660	36352
351	19706	36278
352	19750	36199
353	19801	36135
354	19851	36068
355	19900	35999
356	19953	35939
357	20010	35885
358	20069	35834
359	20126	35780
360	20182	35723
361	20235	35663
362	20283	35594
363	20332	35525
364	20382	35460
365	20431	35392
366	20482	35328
367	20527	35253
368	20570	35175
369	20613	35098
370	20655	35019
371	20697	34940
372	20746	34874
373	20789	34798
374	20833	34721
375	20872	34639
376	20915	34563
377	20965	34498
378	21006	34419
379	21047	34340
380	21091	34266
381	21139	34198
382	21183	34126
383	21231	34058
384	21270	33978
385	21313	33902
386	21357	33829
387	21402	33758
388	21457	33702
389	21507	33640
390	21554	33572
391	21603	33506
392	21654	33446
393	21700	33377
394	21748	33310
395	21797	33246
396	21840	33173
397	21882	33098
398	21927	33028
399	21975	32963
400	22018	32890
401	22063	32821
402	22111	32755
403	22159	32691
404	22208	32626
405	22258	32565
406	22305	32499
407	22352	32433
408	22404	32374
409	22445	32299
410	22490	32230
411	22533	32159
412	22580	32094
413	22627	32027
414	22670	31957
415	22712	31885
416	22755	31814
417	22803	31750
418	22847	31681
419	22891	31612
420	22933	31539
421	22986	31483
422	23033	31418
423	23079	31352
424	23123	31284
425	23166	31215
426	23209	31144
427	23272	31102
428	23335	31060
429	23377	30988
430	23421	30921
431	23465	30853
432	23511	30787
433	23554	30718
434	23636	30700
435	23695	30651
436	23746	30593
437	23790	30526
438	23840	30465
439	23883	30396
440	23928	30330
441	23973	30265
442	24017	30198
443	24064	30135
444	24113	30074
445	24153	30002
446	24195	29933
447	24239	29866
448	24284	29801
449	24326	29732
450	24372	29668
451	24415	29600
452	24458	29533
453	24501	29466
454	24542	29397
455	24589	29334
456	24639	29275
457	24688	29215
458	24730	29148
459	24772	29080
460	24815	29014
461	24859	28949
462	24904	28885
463	24952	28824
464	24996	28758
465	25037	28691
466	25081	28626
467	25123	28559
468	25168	28495
469	25215	28434
470	25262	28373
471	25305	28307
